Year,Region,Value
2010,Asturias,59.99
2011,Asturias,60.26
2012,Asturias,58.19
2013,Asturias,57.63
2014,Asturias,64.06
2015,Asturias,66.37
2016,Asturias,69
2017,Asturias,70.89
2018,Asturias,71.96
2019,Asturias,73.52
2020,Asturias,75.43
2021,Asturias,77.08
2022,Asturias,78.88
2023,Asturias,81.17
2010,España,56.34
2011,España,57.31
2012,España,56.63
2013,España,57.11
2014,España,59.03
2015,España,61.1
2016,España,62.65
2017,España,64.28
2018,España,65.59
2019,España,66.8
2020,España,68.57
2021,España,69.65
2022,España,69.94
2023,España,71.14
