Year,Region,Value
2010,Asturias,75.69
2011,Asturias,69.14
2012,Asturias,64.37
2013,Asturias,60.87
2014,Asturias,56.54
2015,Asturias,50.89
2016,Asturias,47.54
2017,Asturias,46.09
2018,Asturias,47.21
2019,Asturias,50.83
2020,Asturias,69.53
2021,Asturias,52.64
2022,Asturias,55.35
2023,Asturias,59.73
2024,Asturias,64.25
2025,Asturias,70.2
2010,España,78.44
2011,España,70.67
2012,España,65.81
2013,España,62.26
2014,España,58.85
2015,España,55.76
2016,España,55.06
2017,España,56.22
2018,España,58.22
2019,España,62.43
2020,España,84.98
2021,España,60.92
2022,España,62.89
2023,España,68.29
2024,España,73.02
2025,España,78.15
