Year,Region,Sex,Value
2010,Asturias,,99.90
2011,Asturias,,99.90
2012,Asturias,,99.70
2013,Asturias,,99.00
2014,Asturias,,97.10
2015,Asturias,,97.90
2016,Asturias,,99.20
2017,Asturias,,97.50
2018,Asturias,,98.60
2019,Asturias,,98.50
2020,Asturias,,98.80
2021,Asturias,,99.90
2010,Asturias,Hombre,99.80
2011,Asturias,Hombre,100.00
2012,Asturias,Hombre,99.80
2013,Asturias,Hombre,99.00
2014,Asturias,Hombre,97.10
2015,Asturias,Hombre,97.30
2016,Asturias,Hombre,99.10
2017,Asturias,Hombre,97.30
2018,Asturias,Hombre,98.70
2019,Asturias,Hombre,98.10
2020,Asturias,Hombre,98.50
2010,Asturias,Mujer,100.00
2011,Asturias,Mujer,99.70
2012,Asturias,Mujer,99.50
2013,Asturias,Mujer,99.10
2014,Asturias,Mujer,97.10
2015,Asturias,Mujer,98.50
2016,Asturias,Mujer,99.30
2017,Asturias,Mujer,97.70
2018,Asturias,Mujer,98.40
2019,Asturias,Mujer,98.90
2020,Asturias,Mujer,99.10
2010,España,,98.50
2011,España,,98.10
2012,España,,97.70
2013,España,,97.50
2014,España,,97.10
2015,España,,97.90
2016,España,,98.10
2017,España,,97.10
2018,España,,98.40
2019,España,,98.20
2020,España,,98.00
2021,España,,97.30
2010,España,Hombre,97.90
2011,España,Hombre,97.50
2012,España,Hombre,97.50
2013,España,Hombre,97.20
2014,España,Hombre,96.90
2015,España,Hombre,97.70
2016,España,Hombre,98.00
2017,España,Hombre,97.00
2018,España,Hombre,98.30
2019,España,Hombre,98.00
2020,España,Hombre,98.00
2021,España,Hombre,97.30
2010,España,Mujer,99.20
2011,España,Mujer,98.80
2012,España,Mujer,98.00
2013,España,Mujer,97.80
2014,España,Mujer,97.20
2015,España,Mujer,98.10
2016,España,Mujer,98.20
2017,España,Mujer,97.20
2018,España,Mujer,98.50
2019,España,Mujer,98.30
2020,España,Mujer,98.00
2021,España,Mujer,97.40
