Year,Region,Value
2015,Asturias,4.04
2016,Asturias,2.52
2017,Asturias,3.41
2018,Asturias,3.62
2019,Asturias,3.93
2020,Asturias,4.54
2021,Asturias,18.8
2022,Asturias,49.2
2015,España,10.84
2016,España,13.45
2017,España,19.1
2018,España,24.45
2019,España,48.23
2020,España,123.85
2021,España,212.75
2022,España,276
