Year,Region,Value
2010,Asturias,4.69
2011,Asturias,5.41
2012,Asturias,7.06
2013,Asturias,6.03
2014,Asturias,5.82
2015,Asturias,5.86
2016,Asturias,5.92
2017,Asturias,5.82
2018,Asturias,5.63
2019,Asturias,5.56
2020,Asturias,6.75
2021,Asturias,6
2022,Asturias,5.72
2023,Asturias,6.15
2010,España,4.09
2011,España,4.5
2012,España,5.77
2013,España,4.72
2014,España,4.66
2015,España,4.76
2016,España,4.94
2017,España,5.21
2018,España,5.27
2019,España,5.32
2020,España,6.06
2021,España,5.89
2022,España,5.58
2023,España,5.79
