Year,Region,Value
2010,Asturias,13.8454605009455
2011,Asturias,11.1616070481828
2012,Asturias,12.3285445032437
2013,Asturias,13.9237112335185
2014,Asturias,14.1358176953874
2015,Asturias,12.930501904615
2016,Asturias,12.9217529997271
2017,Asturias,13.0103024118576
2018,Asturias,13.4740361182278
2019,Asturias,12.5485398107327
2010,España,6.78
2011,España,6.8
2012,España,7.57
2013,España,8.31
2014,España,8.42
2015,España,7.76
2016,España,7.68
2017,España,7.91
2018,España,7.57
2019,España,7.79
2020,España,8.32
