Year,Region,Value
2010,Asturias,31.593668257191
2011,Asturias,38.2285041400261
2012,Asturias,30.8213612581093
2013,Asturias,27.7533433370808
2014,Asturias,27.7024078325712
2015,Asturias,28.0639782077941
2016,Asturias,27.7721258501597
2017,Asturias,25.438053969453
2018,Asturias,31.2441417234269
2019,Asturias,28.5283209759627
2020,Asturias,34.1719073439073
2010,España,21.04
2011,España,21.39
2012,España,21.36
2013,España,20.16
2014,España,20.72
2015,España,21.94
2016,España,20.04
2017,España,21
2018,España,21.23
2019,España,20.47
2020,España,23.86
