Year,Region,Value
2010,Asturias,5.9
2011,Asturias,6.3
2012,Asturias,7.0
2013,Asturias,7.4
2014,Asturias,7.7
2015,Asturias,7.9
2016,Asturias,8.1
2017,Asturias,8.2
2018,Asturias,8.5
2019,Asturias,8.7
2020,Asturias,9.0
2010,España,6.0
2011,España,6.2
2012,España,6.7
2013,España,7.0
2014,España,7.2
2015,España,7.5
2016,España,7.7
2017,España,7.9
2018,España,8.1
2019,España,8.2
2020,España,8.4
