Year,Region,Value
2010,Asturias,10.76
2011,Asturias,10.48
2012,Asturias,10.2
2013,Asturias,10.32
2014,Asturias,10.23
2015,Asturias,10.41
2016,Asturias,10.58
2017,Asturias,10.2
2018,Asturias,10.07
2019,Asturias,10
2020,Asturias,10.14
2021,Asturias,10.34
2022,Asturias,9.92
2010,España,434.76
2011,España,422.66
2012,España,420.15
2013,España,423.22
2014,España,443.33
2015,España,444.13
2016,España,444.41
2017,España,456.37
2018,España,449.71
2019,España,440.81
2020,España,447.58
2021,España,440.68
2022,España,425.43
