Year,Region,Value
2010,Asturias,93.0154762513183
2011,Asturias,95.3387268698947
2012,Asturias,113.852240526167
2013,Asturias,97.654136894542
2014,Asturias,105.591712046753
2015,Asturias,122.887658841638
2016,Asturias,108.292004617116
2017,Asturias,117.38399713385
2018,Asturias,124.390739236393
2019,Asturias,109.015439605741
2010,España,68.24
2011,España,70.29
2012,España,78.04
2013,España,70.79
2014,España,72.65
2015,España,85.22
2016,España,76.81
2017,España,82.81
2018,España,84.99
2019,España,74.48
2020,España,65.63
