Year,Region,Value
2010,Asturias,98.98
2011,Asturias,95.33
2012,Asturias,93.61
2013,Asturias,91.08
2014,Asturias,87.5
2015,Asturias,86.56
2016,Asturias,81.83
2017,Asturias,74.86
2018,Asturias,71.51
2019,Asturias,67.95
2020,Asturias,64.47
2021,Asturias,55.3
2022,Asturias,49.22
2023,Asturias,50.66
2010,España,110.47
2011,España,103.48
2012,España,98.83
2013,España,90.41
2014,España,82.85
2015,España,79.89
2016,España,75.59
2017,España,70.51
2018,España,67.03
2019,España,62.43
2020,España,57
2021,España,50.44
2022,España,43.86
2023,España,42.04
