Year,Region,Value
2010,Asturias,13.3717220159761
2011,Asturias,12.7982001243416
2012,Asturias,12.0064342756243
2013,Asturias,12.3491328996104
2014,Asturias,12.1168714832627
2015,Asturias,12.2094204131676
2016,Asturias,11.8612658487803
2017,Asturias,12.3035199924598
2018,Asturias,12.0935815098168
2019,Asturias,11.9007552903628
2020,Asturias,11.1017879043609
2010,España,11.53
2011,España,11.44
2012,España,11.09
2013,España,11.14
2014,España,11.22
2015,España,11.3
2016,España,11.22
2017,España,11.52
2018,España,11.13
2019,España,10.97
2020,España,10.82
2021,España,10.9
