Year,Region,Value
2010,Asturias,92.87
2011,Asturias,95.31
2012,Asturias,93.36
2013,Asturias,98.4
2014,Asturias,99.59
2015,Asturias,97.71
2016,Asturias,100.69
2017,Asturias,96.93
2018,Asturias,102.9
2019,Asturias,96.43
2020,Asturias,98.36
2021,Asturias,97.78
2022,Asturias,95.14
2010,España,95.91
2011,España,98.81
2012,España,103.8
2013,España,103.62
2014,España,103.09
2015,España,102.64
2016,España,99.93
2017,España,99.64
2018,España,101.96
2019,España,103.4
2020,España,111.92
2021,España,106.78
2022,España,101.71
