Year,Region,Value
2010,Asturias,0.702025197888674
2011,Asturias,-1.02494971513298
2012,Asturias,-3.62782611417407
2013,Asturias,-2.39447497695526
2014,Asturias,0.54520239130627
2015,Asturias,3.59844602300697
2016,Asturias,2.38649951783994
2017,Asturias,2.95653502114538
2018,Asturias,2.50026286933139
2019,Asturias,1.64322974472808
2010,España,-0.26
2011,España,-1.18
2012,España,-3.02
2013,España,-1.07
2014,España,1.69
2015,España,3.94
2016,España,2.94
2017,España,2.79
2018,España,1.86
2019,España,1.27
2020,España,-11.29
