Year,Region,Value
2010,Asturias,67.45
2011,Asturias,72.65
2012,Asturias,77.31
2013,Asturias,68.27
2014,Asturias,69.77
2015,Asturias,67.24
2016,Asturias,63.65
2017,Asturias,71
2018,Asturias,70.31
2019,Asturias,72.01
2020,Asturias,71.3
2021,Asturias,66.25
2022,Asturias,66.77
2023,Asturias,64.27
2010,España,71.96
2011,España,75.48
2012,España,74.42
2013,España,71.75
2014,España,72.85
2015,España,72.56
2016,España,72.47
2017,España,74.25
2018,España,73.69
2019,España,75.3
2020,España,73.03
2021,España,71.19
2022,España,70.14
2023,España,70.2
