Year,Region,Value
2010,Asturias,47.44
2011,Asturias,46.99
2012,Asturias,45.64
2013,Asturias,44.78
2014,Asturias,44.94
2015,Asturias,44.54
2016,Asturias,44.34
2017,Asturias,44.21
2018,Asturias,44.42
2019,Asturias,45.58
2020,Asturias,48.2
2021,Asturias,46.51
2022,Asturias,44.31
2023,Asturias,45.43
2010,España,49.09
2011,España,48.26
2012,España,46.72
2013,España,45.84
2014,España,45.84
2015,España,45.72
2016,España,45.24
2017,España,45.14
2018,España,45.42
2019,España,46.73
2020,España,49.76
2021,España,48.9
2022,España,47.75
2023,España,47.76
