Year,Region,Value
2010,Asturias,2407.34
2011,Asturias,2305.15
2012,Asturias,2121.61
2013,Asturias,2103.34
2014,Asturias,1928.93
2015,Asturias,1944.44
2016,Asturias,2004.09
2017,Asturias,2161.22
2018,Asturias,2246.69
2019,Asturias,2583.26
2020,Asturias,2299.42
2021,Asturias,2373.32
2022,Asturias,2395.26
2010,España,2891.88
2011,España,2786.59
2012,España,2711.86
2013,España,2645.38
2014,España,2632.51
2015,España,2639.62
2016,España,2727.58
2017,España,2864.16
2018,España,2999.44
2019,España,3057.56
2020,España,3070.48
2021,España,3255.24
2022,España,3385.22
