Year,Region,Value
2010,Asturias,391.296873620681
2011,Asturias,376.053144131692
2012,Asturias,390.964297655895
2013,Asturias,392.686288437204
2014,Asturias,386.126026981386
2015,Asturias,420.289202647784
2016,Asturias,413.110372021126
2017,Asturias,385.454481903543
2018,Asturias,379.030494282322
2019,Asturias,371.358350023872
2010,España,255.85
2011,España,253.18
2012,España,261.08
2013,España,252.15
2014,España,252.7
2015,España,267.61
2016,España,257.87
2017,España,263.18
2018,España,258.64
2019,España,247.56
2020,España,253.1
