Year,Region,Value
2010,Asturias,19.7
2011,Asturias,25.4
2012,Asturias,29.6
2013,Asturias,27.2
2014,Asturias,27.4
2015,Asturias,28
2016,Asturias,25.3
2017,Asturias,20.4
2018,Asturias,23.91
2019,Asturias,27.97
2020,Asturias,27.6
2021,Asturias,29.14
2022,Asturias,26.04
2023,Asturias,27.37
2010,España,25.24
2011,España,25.85
2012,España,26.42
2013,España,26.68
2014,España,29.61
2015,España,27.5
2016,España,27.91
2017,España,27.2
2018,España,26.55
2019,España,25.6
2020,España,26.11
2021,España,27.15
2022,España,25.31
2023,España,25.11
