Year,Region,Value
2016,Asturias,0.39
2017,Asturias,0.78
2018,Asturias,0.29
2019,Asturias,0
2020,Asturias,0
2012,Asturias,0.19
2013,Asturias,0.66
2014,Asturias,0.09
2015,Asturias,0
2016,Asturias,0.29
2017,Asturias,0.68
2018,Asturias,0.1
2019,Asturias,0
2020,Asturias,0
2015,Asturias,0
2016,Asturias,0
2017,Asturias,0
2018,Asturias,0.1
2019,Asturias,0
2020,Asturias,0
2016,Asturias,0
2017,Asturias,0
2018,Asturias,0.1
2019,Asturias,0
2020,Asturias,0
2016,Asturias,0.1
2017,Asturias,0.1
2018,Asturias,0
2019,Asturias,0
2020,Asturias,0
2016,España,0.42
2017,España,0.47
2018,España,0.51
2019,España,1.15
2020,España,0.57
2021,España,0.4
2012,España,0.27
2013,España,0.57
2014,España,0.33
2015,España,0.29
2016,España,0.32
2017,España,0.33
2018,España,0.27
2019,España,0.62
2020,España,0.34
2021,España,0.29
2015,España,0.29
2016,España,0.05
2017,España,0.12
2018,España,0.2
2019,España,0.41
2020,España,0.21
2021,España,0.11
2016,España,0
2017,España,0
2018,España,0
2019,España,0
2020,España,0
2021,España,0
2016,España,0.04
2017,España,0.02
2018,España,0.03
2019,España,0.12
2020,España,0.02
2021,España,0
